Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Algeria,African Region of WHO,Northern Africa,2019,1,12/31/2018,1/6/2019,1,1,,0,1,0,0,1,,,,,1,,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2019,2,1/7/2019,1/13/2019,6,6,,0,2,0,0,2,,,,,2,4,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2019,3,1/14/2019,1/20/2019,4,4,,0,1,0,0,1,,,,,1,3,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2019,4,1/21/2019,1/27/2019,5,5,,0,1,0,0,1,,,,,1,4,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2019,5,1/28/2019,2/3/2019,7,7,,1,3,0,0,4,,,,,4,3,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2019,6,2/4/2019,2/10/2019,4,4,,0,1,0,0,1,,,,,1,3,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2019,7,2/11/2019,2/17/2019,6,6,,0,3,0,0,3,,,,,3,3,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2019,8,2/18/2019,2/24/2019,9,9,,1,4,0,0,5,,,,,5,4,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2019,9,2/25/2019,3/3/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,10,3/4/2019,3/10/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,11,3/11/2019,3/17/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,12,3/18/2019,3/24/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,13,3/25/2019,3/31/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,14,4/1/2019,4/7/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,15,4/8/2019,4/14/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,16,4/15/2019,4/21/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,17,4/22/2019,4/28/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,18,4/29/2019,5/5/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,19,5/6/2019,5/12/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,20,5/13/2019,5/19/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,21,5/20/2019,5/26/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,22,5/27/2019,6/2/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,23,6/3/2019,6/9/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,24,6/10/2019,6/16/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,25,6/17/2019,6/23/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,26,6/24/2019,6/30/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,27,7/1/2019,7/7/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,28,7/8/2019,7/14/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,29,7/15/2019,7/21/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,30,7/22/2019,7/28/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,31,7/29/2019,8/4/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,32,8/5/2019,8/11/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,33,8/12/2019,8/18/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,34,8/19/2019,8/25/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,35,8/26/2019,9/1/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,36,9/2/2019,9/8/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,37,9/9/2019,9/15/2019,,,,,,,,,,,,,,,No Report
