,price,facility,address,condition,zip,radius,city,cluster,facility_type,facility_zip
6,650.0,iSleep Program,"1200 Waters Pl., Ste. 104, Bronx NY",sleep,10001,25,New York,0,clinic,
7,700.0,New York Sleep Disorder Center,"2951 Grand Concourse Ste. IA, Bronx NY",sleep,10001,25,New York,1,hospital,
8,800.0,Sleep Diagnostics of NY,"69-39 Yellowstone Blvd., Ste. #1, Forest Hills NY",sleep,10001,25,New York,0,clinic,
9,800.0,Hackensack Sleep and Pulmonary Center,"170 Prospect Ave., Ste. 20, Hackensack NJ",sleep,10001,25,New York,2,hospital,
10,850.0,New York Sleep Disorder Center,"2951 Grand Concourse Ste. IA, Bronx NY",sleep,10001,25,New York,1,hospital,
11,875.0,Sleep Diagnostics of N.Y.,"69-39 Yellowstone Blvd., Ste. #1, Forest Hills NY",sleep,10001,25,New York,0,clinic,
12,878.0,NYU Langone Pulmonary and Sleep Medicine,"2408 Ocean Ave., Brooklyn NY",sleep,10001,25,New York,0,clinic,
13,878.0,NYU Winthrop Sleep Disorders Center,"1300 Franklin Ave., Ste. UL-5, Garden City NY",sleep,10001,25,New York,1,hospital,
14,980.0,Sleep Disorders Institute,"423 W. 55th St., 4th Fl., New York NY",sleep,10001,25,New York,1,hospital,
15,990.0,Jamaica Hospital Sleep Center,"89-40 135th St., Jamaica NY",sleep,10001,25,New York,2,hospital,
16,1000.0,New York Cardiovascular Associates Sleep Wake Center,"275 Seventh Ave., 3rd Fl., New York NY",sleep,10001,25,New York,2,hospital,
17,1050.0,Clifton Center for Sleep Disorders,"6 Brighton Rd., Clifton NJ",sleep,10001,25,New York,1,hospital,
18,1054.0,Englewood Health,"350 Engle St., Englewood NJ",sleep,10001,25,New York,2,hospital,
19,1069.0,Montefiore - Nyack Hospital Edythe Kurz Center for Sleep Medicine,"160 N. Midland Ave., Nyack NY",sleep,10001,25,New York,2,hospital,
20,1100.0,Mercy Medical Center,"1000 N. Village Ave., Rockville Centre NY",sleep,10001,25,New York,0,clinic,
21,1144.0,Carepoint Health - Bayonne Medical Center,"29 E. 29th St., Bayonne NJ",sleep,10001,25,New York,0,clinic,
22,1478.0,NYU Langone Medical Associates - Chelsea,"160 W. 26th St., 3rd Fl., New York NY",sleep,10001,25,New York,0,clinic,
23,1500.0,EOS Sleep Diagnostics,"200A E. 62nd St., New York NY",sleep,10001,25,New York,0,clinic,
24,1652.0,RWJBarnabas Health - Clara Maass Medical Center,"1 Clara Maass Dr., Belleville NJ",sleep,10001,25,New York,0,clinic,
25,1900.0,Sleep Disorders Institute,"423 W. 55th St., 4th Fl., New York NY",sleep,10001,25,New York,1,hospital,
26,1966.0,Lenox Hill Hospital - Northwell Health Sleep Center,"100 E.77th St., New York NY",sleep,10001,25,New York,2,hospital,
27,2100.0,"Staten Island University Pulmonary, Critical Care & Sleep Medicine","501 Seaview Ave., Staten Island NY",sleep,10001,25,New York,2,hospital,
28,2165.0,"The Bronx Pulmonary Center for Pulmonary, Asthma and Sleep Disorders","441 E. Tremont Ave., Bronx NY",sleep,10001,25,New York,2,hospital,
29,2250.0,Riverside Medical Group - Hoboken Sleep Doctors,"1425 Bloomfield St., Hoboken NJ",sleep,10001,25,New York,0,clinic,
30,2616.0,Montefiore New Rochelle,"16 Guion Pl., New Rochelle NY",sleep,10001,25,New York,0,clinic,
31,2772.0,Summit Medical Group - Sleep Disorders Center,"300 Madison Ave., Madison NJ",sleep,10001,25,New York,1,hospital,
32,2900.0,Sleep Medicine Associates of NYC,"11 E. 26th St., #1302, New York NY",sleep,10001,25,New York,0,clinic,
33,3650.0,"Center for Sleep Medicine, Weill Cornell Medical College","425 E. 61st St., 5th Fl., New York NY",sleep,10001,25,New York,0,clinic,
34,3980.0,Weill Cornell Medical College - Center for Sleep Medicine,"425 E. 61st St., 5th Fl., New York NY",sleep,10001,25,New York,0,clinic,
35,5800.0,Sleep Disorders Center,"210 Williamson St., Elizabeth NJ",sleep,10001,25,New York,1,hospital,
36,5863.0,Valley Health System - Sleep Medicine Center,"579 Franklin Tpke., Ridgewood NJ",sleep,10001,25,New York,2,hospital,
37,6000.0,"New York Sleep, Sinus & Thyroid Surgery Center","310 E. 14th St., #6, New York NY",sleep,10001,25,New York,2,hospital,
38,6090.0,Montefiore Hospital,"Greene Medical Arts Pavilion, 3400 Bainbridge Ave., Bronx NY",sleep,10001,25,New York,0,clinic,
39,6673.0,Atlantic Health Sleep Center - Morristown Medical Center,"5 Regent St., Ste. 512, Livingston NJ",sleep,10001,25,New York,2,hospital,
40,250.0,Sleep Disorders Institute,"423 W. 55th St., 4th Fl., New York NY",sleep,10001,25,New York,1,hospital,
41,325.0,Sleep Diagnostics of N.Y.,"69-39 Yellowstone Blvd., Ste. #1, Forest Hills NY",sleep,10001,25,New York,0,clinic,
42,350.0,iSleep Program,"1200 Waters Pl., Ste. 104, Bronx NY",sleep,10001,25,New York,0,clinic,
43,360.0,Jamaica Hospital Sleep Center,"89-40 135th St., Jamaica NY",sleep,10001,25,New York,2,hospital,
44,500.0,EOS Sleep Diagnostics,"200A E. 62nd St., New York NY",sleep,10001,25,New York,0,clinic,
45,500.0,New York Sleep Disorder Center,"2951 Grand Concourse Ste. IA, Bronx NY",sleep,10001,25,New York,1,hospital,
46,510.0,Riverside Medical Group - Hoboken Sleep Doctors,"1425 Bloomfield St., Hoboken NJ",sleep,10001,25,New York,0,clinic,
47,550.0,NYU Langone Medical Associates - Chelsea,"160 W. 26th St., 3rd Fl., New York NY",sleep,10001,25,New York,0,clinic,
48,1395.0,"The Gelb Center - Gelb, Dr. Michael L.","12 Old Mamaroneck Rd., Ste. 1C, White Plains NY",sleep,10001,25,New York,2,hospital,
53,1140.0,California Center for Sleep Disorders,"985 Atlantic Ave., Ste. 250, Alameda CA",sleep,94016,25,San Francisco,1,hospital,
54,1575.0,Bay Sleep Clinic,"2939 Summit St., Oakland CA",sleep,94016,25,San Francisco,0,clinic,
55,2323.0,Sutter East Bay Medical Foundation,"2500 Milvia St., Berkeley CA",sleep,94016,25,San Francisco,0,clinic,
56,3122.0,Palo Alto Medical Foundation,"795 El Camino Real, Palo Alto CA",sleep,94016,25,San Francisco,0,clinic,
57,6550.0,UCSF Benioff Children's Hospital,"747 52nd St., Oakland CA",sleep,94016,25,San Francisco,0,clinic,
58,10000.0,Sleep Disorders Center at UCSF Medical Center at Mount Zion,"2330 Post St., Ste. 420, San Francisco CA",sleep,94016,25,San Francisco,0,clinic,
59,13195.0,Sleep Medicine Center at Stanford Healthcare,"450 Broadway St., Redwood City CA",sleep,94016,25,San Francisco,2,hospital,
