row.names,pclass,survived,name,age,embarked,home.dest,room,ticket,boat,sex
999,3rd,1,"McCarthy, Miss Katie",,,,,,,female
180,1st,0,"Millet, Mr Francis Davis",65,Southampton,"East Bridgewater, MA",,,-249,male
557,2nd,0,"Sjostedt, Mr Ernst Adolf",59,Southampton,"Sault St Marie, ON",,,,male
175,1st,0,"McCaffry, Mr Thomas Francis",46,Cherbourg,"Vancouver, BC",,,-292,male
1233,3rd,0,"Strilic, Mr Ivan",,,,,,,male
816,3rd,1,"Georges, Mrs Shahini Weappi",,Cherbourg,"Youngstown, OH",,,,female
1172,3rd,0,"Sage, Miss Constance",,,,,,,female
1220,3rd,1,"Smyth, Miss Julia",,,,,,,female
731,3rd,0,"Connors, Mr Patrick",,Queenstown,,,,-171,male
118,1st,1,"Goldenberg, Mr Samuel L.",49,Cherbourg,"Paris, France / New York, NY",,,5,male
755,3rd,0,"Davies, Mr Alfred",24,Southampton,"West Bromwich, England Pontiac, MI",,,,male
458,2nd,1,"Jacobsohn, Mrs Sidney Samuel (Amy Frances Christy)",,Southampton,London,,,,female
162,1st,0,"Lindeberg-Lind, Mr Erik Gustaf",42,Southampton,"Stockholm, Sweden",,,,male
535,2nd,1,"Portaluppi, Mr Emilio",,Cherbourg,"Milford, NH",,,,male
369,2nd,1,"Christy, Miss Julie",,Southampton,London,,,,female
117,1st,1,"Gibson, Mrs Leonard (Pauline C. Boeson)",45,Cherbourg,"New York, NY",,,7,female
337,2nd,0,"Beauchamp, Mr Henry James",28,Southampton,England,,,,male
211,1st,1,"Romaine, Mr Charles Hallace",,Southampton,"New York, NY",,,15,male
938,3rd,0,"Klasen, Mrs Hulda Kristina",,,,,,,female
73,1st,0,"Crosby, Captain Edward Gifford",70,Southampton,"Milwaukee, WI",,,-269,male
83,1st,1,"Dick, Mr Albert Adrian",31,Cherbourg,"Calgary, AB",,,3,male
683,3rd,0,"Bourke, Mrs John (Catherine)",32,Queenstown,"Ireland Chicago, IL",,,,female
905,3rd,0,"Jonsson, Nils Hilding",,,,,,,male
354,2nd,0,"Butler, Mr Reginald Fenton",25,Southampton,"Southsea, Hants",,,-97,male
1125,3rd,0,"Perkin, Mr John Henry",,,,,,,male
260,1st,1,"Taylor, Mr Elmer Zebley",48,Southampton,"London /  East Orange, NJ",C-126,,5,male
1273,3rd,0,"Van der Planke, Mr Leon",,,,,,,male
223,1st,1,"Ryerson, Miss Susan (Suzette) Parker",21,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,female
41,1st,1,"Calderhead, Mr Edward P.",,Southampton,"New York, NY",,,7-May,male
262,1st,0,"Thayer, Mr John Borland",49,Cherbourg,"Haverford, PA",,,,male
292,1st,1,"Bidois, Miss Rosalie",,Cherbourg,,,17754,,female
529,2nd,0,"Pengelly, Mr Frederick",20,Southampton,"Gunnislake, England / Butte, MT",,,,male
423,2nd,0,"Greenberg, Mr Samuel",50,Southampton,"Bronx, NY",,,-19,male
310,1st,0,"Keeping, Mr Edwin",32,Cherbourg,,,,-45,male
550,2nd,1,"Rugg, Miss Emily",21,Southampton,"Guernsey / Wilmington, DE",,,12,female
126,1st,1,"Greenfield, Mr William Bertram",23,Cherbourg,"New York, NY",,,7,male
889,3rd,0,"Johansson, Mr Gustaff Joel",,,,,,,male
210,1st,0,"Roebling, Mr Washington Augustus 2nd",31,Southampton,"Trenton, NJ",,,,male
710,3rd,0,"Carlsson, Mr August Sigfrid",28,Southampton,"Dagsas, Sweden Fower, MN",,,,male
1230,3rd,0,"Stoyehoff, Mr Ilia",,,,,,,male
92,1st,1,"Duff Gordon, Lady (Lucille Wallace Sutherland)",48,Cherbourg,London / Paris,,17485 L56 18s 7d,1,female
152,1st,0,"Jones, Mr Charles Cresson",46,Southampton,"Bennington, VT",,,-80,male
586,2nd,1,"Wells, Master Ralph Lester",2,Southampton,"Cornwall / Akron, OH",,,,male
619,3rd,0,"Alhomaki, Mr Ilmari Rudolf",20,Southampton,"Salo, Finland Astoria, OR",,,,male
417,2nd,0,"Giles, Mr Edgar",24,Southampton,"Cornwall / Camden, NJ",,,,male
921,3rd,1,"Kelly, Miss Anna Kate",,,,,,,female
80,1st,0,"Davidson, Mr Thornton",31,Southampton,"Montreal, PQ",,,,male
343,2nd,1,"Bentham, Miss Lilian W.",19,Southampton,"Rochester, NY",,,12,female
823,3rd,0,"Goldsmith, Mr Nathan",41,Southampton,"Philadelphia, PA",,,,male
726,3rd,0,"Coleff, Mr Peyo",36,Southampton,"Bulgaria Chicago, IL",,,,male
524,2nd,0,"Pain, Dr Alfred",24,Southampton,"Hamilton, ON",,,,male
603,3rd,0,"Abbing, Mr Anthony",42,Southampton,,,,,male
1083,3rd,0,"O'Dwyer, Miss Nellie",,,,,,,female
296,1st,1,"Chaudanson, Ms 	Victorine",,Cherbourg,,,17608,,female
171,1st,0,"Maguire, Mr John Edward",30,Southampton,"Brockton, MA",,,,male
26,1st,0,"Blackwell, Mr Stephen Weart",45,Southampton,"Trenton, NJ",,,-241,male
751,3rd,0,"Danbom, Mrs Ernst Gilbert (Anna Sigrid Maria Brogren)",28,Southampton,"Stanton, IA",,,,female
965,3rd,0,"Lindahl, Miss Agda V.",,,,,,,female
572,2nd,0,"Veale, Mr James",30,Southampton,"Barre, Co Washington, VT",,,,male
1183,3rd,1,"Salkjelsvik, Miss Anna",,,,,,,female
317,1st,0,"Ringhini, Mr Sante",33,Cherbourg,,,,-232,male
447,2nd,0,"Hocking, Mr Samuel James",,Southampton,"Devonport, England",,,,male
242,1st,1,"Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)",40,Cherbourg,"Tuxedo Park, NY",,,3,female
322,1st,1,"Wilson, Ms Helen",,Cherbourg,,,,,female
464,2nd,0,"Kantor, Mr Sinai",34,Southampton,"Moscow / Bronx, NY",,,-283,male
1147,3rd,0,"Rice, Master Eric",,,,,,,male
763,3rd,1,"Dean, Master Bertram Vere",1,Southampton,"Devon, England Wichita, KS",,,12,male
