row.names,pclass,survived,name,age,embarked,home.dest,room,ticket,boat,sex
704,3rd,0,"Cann, Mr Ernest",21,Southampton,,,,,male
261,1st,1,"Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)",,Southampton,"London /  East Orange, NJ",C-126,,5,female
154,1st,0,"Kent, Mr Edward Austin",58,Cherbourg,"Buffalo, NY",,,-258,male
607,3rd,1,"Abelseth, Miss Anna Karen",16,Southampton,"Norway Los Angeles, CA",,,16,female
449,2nd,0,"Hold, Mr Stephen",42,Southampton,"England / Sacramento, CA",,,,male
441,2nd,0,"Hickman, Mr Lewis",32,Southampton,"West Hampstead, London / Neepawa, MB",,,,male
518,2nd,0,"Norman, Mr Robert Douglas",,Southampton,Glasgow,,,-287,male
934,3rd,1,"Kink, Miss Louise Gretchen",,,,,,,female
1277,3rd,0,"Van Impe, Miss Catharine",,,,,,,female
488,2nd,0,"Mack, Mrs Mary",57,Southampton,"Southampton / New York, NY",E77,,-52,female
693,3rd,1,"Buckley, Mr Daniel",21,Queenstown,"Kingwilliamstown, Co Cork, Ireland New York, NY",,,,male
187,1st,0,"Natsch, Mr Charles H.",36,Cherbourg,"Brooklyn, NY",,,,male
900,3rd,0,"Johnston, Mrs Andrew G.",,,,,,,female
577,2nd,0,"Ware, Mr William J.",23,Southampton,,,,,male
7,1st,1,"Andrews, Miss Kornelia Theodosia",63,Southampton,"Hudson, NY",D-7,13502 L77,10,female
240,1st,1,"Snyder, Mrs John Pillsbury (Nelle Stevenson)",23,Southampton,"Minneapolis, MN",,,7,female
12,1st,1,"Astor, Mrs John Jacob (Madeleine Talmadge Force)",19,Cherbourg,"New York, NY",,17754 L224 10s 6d,4,female
199,1st,0,"Payne, Mr Vivian Ponsonby",22,Southampton,"Montreal, PQ",,,,male
1248,3rd,0,"Thomas, Mr John, Jr",,,,,,,male
353,2nd,1,"Buss, Miss Kate",36,Southampton,"Sittingbourne, England / San Diego, CA",E-?,27849,9,female
200,1st,0,"Pears, Mr Thomas",,Southampton,"Isleworth, England",,,,male
621,3rd,0,"Allen, Mr William Henry",35,Southampton,"Lower Clapton, Middlesex or Erdington, Birmingham",,,,male
793,3rd,0,"Elias, Mr Joseph",,Cherbourg,"Syria Ottawa, ON",,,,male
1239,3rd,0,"Svensson, Mr Johan",,,,,,,male
201,1st,1,"Pears, Mrs Thomas (Edith)",,Southampton,"Isleworth, England",,,8,female
1096,3rd,0,"Oreskovic, Mr Luka",,,,,,,male
270,1st,0,"Walker, Mr William Anderson",47,Southampton,"East Orange, NJ",,,,male
1281,3rd,0,"Vassilios, Mr Catavelas",,,,,,,male
1289,3rd,0,"Webber, Mr James",,,,,,,male
496,2nd,0,"Matthews, Mr William John",30,Southampton,"St Austall, Cornwall",,,,male
506,2nd,0,"Mitchell, Mr Henry Michael",71,Southampton,"Guernsey / Montclair, NJ and/or Toledo, Ohio",,,,male
47,1st,0,"Carrau, Mr Jose Pedro",,Southampton,"Montevideo, Uruguay",,,,male
865,3rd,0,"Henriksson, Jenny Lovisa",,,,,,,female
1145,3rd,0,"Rice, Master Arthur",,,,,,,male
575,2nd,0,"Ware, Mr John James",30,Southampton,"Bristol, England / New Britain, CT",,,,male
813,3rd,0,"Franklin, Mr Charles",,Southampton,,,,,male
394,2nd,1,"Doling, Miss Elsie",18,Southampton,Southampton,,,,female
709,3rd,0,"Carlsson, Mr Julius",33,Southampton,,,,,male
562,2nd,0,"Sobey, Mr Hayden",25,Southampton,"Cornwall / Houghton, MI",,,,male
845,3rd,1,"Hakkarainen, Mrs Pekko Pietari",,,,,,,female
1004,3rd,0,"McDermott, Miss Delia",,,,,,,female
588,2nd,1,"West, Miss Constance Mirium",,Southampton,"Bournmouth, England",,,,female
344,2nd,0,"Berriman, Mr William S.",23,Southampton,"St Ives, Cornwall / Calumet, MI",,,,male
168,1st,1,"Longley, Miss Gretchen Fiske",21,Southampton,"Hudson, NY",D-?,13502 L77,10,female
883,3rd,0,"Jensen, Mr Niels Peder",,,,,,,male
1080,3rd,0,"O'Connor, Mr Maurice",,,,,,,male
1081,3rd,0,"O'Connor, Mr Patrick",,,,,,,male
776,3rd,0,"Dintcheff, Mr Valtcho",43,Southampton,,,,,male
1310,3rd,0,"Zakarian, Mr Maprieder",,,,,,,male
679,3rd,0,"Boulos, Mr Hanna",,Cherbourg,Syria,,,,male
806,3rd,0,"Ford, Mr Arthur",,Southampton,"Bridgwater, Somerset, England",,,,male
36,1st,0,"Brewe, Dr Arthur Jackson",,Cherbourg,"Philadelphia, PA",,,,male
737,3rd,1,"Coutts, Mrs William (Minnie)",36,Southampton,"England Brooklyn, NY",,,2,female
935,3rd,0,"Kink, Miss Maria",,,,,,,female
910,3rd,0,"Kalvig, Mr Johannes K. Halverson",,,,,,,male
613,3rd,0,"Ahlin, Mrs Johanna Persdotter",40,Southampton,"Sweden Akeley, MN",,,,female
104,1st,0,"Fortune, Mr Mark",64,Southampton,"Winnipeg, MB",,,,male
347,2nd,0,"Bracken, Mr James H.",27,Southampton,"Lake Arthur, Chavez County, NM",,,,male
567,2nd,0,"Troupiansky, Mr Moses Aaron",22,Southampton,,,,,male
239,1st,1,"Snyder, Mr John Pillsbury",24,Southampton,"Minneapolis, MN",,,7,male
1302,3rd,0,"Wittevrongel, Mr Camiel",,,,,,,male
878,3rd,0,"Ivanoff, Mr Konio",,,,,,,male
409,2nd,0,"Funk, Miss Annie C.",38,Southampton,"Janjgir, India / Pennsylvania",,,,female
1111,3rd,0,"Paulsson, Master Paul Folke",,,,,,,male
1030,3rd,0,"Moran, Mr Daniel J.",,,,,,,male
531,2nd,1,"Phillips, Miss Alice",42,Southampton,"Ilfracombe, Devon",,,12,female
1263,3rd,0,"Turcin, Mr Stefan",,,,,,,male
915,3rd,1,"Karun, Miss Anna Mary",,,,,,,female
1294,3rd,1,"Wilkes, Mrs Ellen",,,,,,,female
674,3rd,1,"Bing, Mr Lee",32,Southampton,"Hong Kong New York, NY",,,,male
864,3rd,0,"Henery, Delia",,,,,,,female
1139,3rd,0,"Potchett, Mr George",,,,,,,male
1023,3rd,0,"Mitkoff, Mr Mito",,,,,,,male
970,3rd,0,"Linehan, Mr Michael",,,,,,,male
908,3rd,0,"Jussila, Miss Katriina",,,,,,,female
1070,3rd,0,"Nilsson, Miss Helmina Josefina",,,,,,,female
71,1st,1,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",55,Southampton,"New York, NY",C-101,,2,female
1013,3rd,0,"Mechen, Mr John",,,,,,,male
829,3rd,0,"Goodwin, Master Harold V.",9,Southampton,"Wiltshire, England Niagara Falls, NY",,,,male
922,3rd,0,"Kelly, Mr James",,,,,,,male
775,3rd,0,"Dimic, Mr Jovan",42,Southampton,,,,,male
320,1st,0,"Seredeca, Ms",,Southampton,,,,,female
1064,3rd,1,"Nicola-Yarred, Miss Jamila",,,,,,,female
134,1st,1,"Hawksford, Mr Walter James",,Southampton,"Kingston, Surrey",,,3,male
85,1st,1,"Dodge, Dr. Washington",,Southampton,"San Francisco, CA",,,13,male
437,2nd,0,"Herman, Mr Samuel",49,Southampton,"Somerset / Bernardsville, NJ",,,,male
802,3rd,0,"Flynn, Mr John",,Queenstown,,,,,male
1288,3rd,0,"Wazli, Mr Yousif",,,,,,,male
416,2nd,0,"Gilbert, Mr William",45,Southampton,Cornwall,,,,male
625,3rd,0,"Andersson, Mr Anders Johan",39,Southampton,"Sweden Winnipeg, MN",,,,male
604,3rd,0,"Abbott, Master Eugene Joseph",13,Southampton,"East Providence, RI",,,,male
595,2nd,1,"Wilkinson, Mrs Elizabeth Anne",,Southampton,"Manchester, England",,,,female
966,3rd,0,"Lindblom, Miss Augusta Charlotta",,,,,,,female
1016,3rd,0,"Meo, Mr Alfonso",,,,,,,male
1152,3rd,1,"Riordan, Miss Hannah",,,,,,,female
159,1st,0,"Klaber, Mr Herman",,Southampton,"Portland, OR",,,,male
303,1st,0,"Fry, Mr Richard",,Southampton,,B-102,112058,,male
728,3rd,0,"Connaghton, Mr Michael",31,Queenstown,"Ireland Brooklyn, NY",,,,male
1046,3rd,0,"Murphy, Miss Nora",,,,,,,female
648,3rd,1,"Asplund, Miss Lillian Gertrud",5,Southampton,"Sweden Worcester, MA",,,4,female
732,3rd,0,"Cook, Mr Jacob",43,Southampton,,,,,male
75,1st,1,"Crosby, Miss Harriet R.",36,Southampton,"Milwaukee, WI",,,5,female
695,3rd,0,"Burke, Mr Jeremiah",19,Queenstown,"Co Cork, Ireland Charlestown, MA",,,,male
767,3rd,1,"De Messemaeker, Mrs William Joseph (Anna)",36,Southampton,"Tampico, MT",,,13,female
568,2nd,1,"Trout, Mrs William H. (Jessie L.)",,Southampton,"Columbus, OH",,,9,female
395,2nd,0,"Downton (?Douton), Mr William James",,Southampton,"Holley, NY",,,,male
147,1st,1,"Hoyt, Mr Frederick Maxfield",38,Southampton,"New York, NY /  Stamford CT",C-93,,D,male
1126,3rd,1,"Persson, Mr Ernst Ulrik",,,,,,,male
420,2nd,0,"Gill, Mr John W.",,Southampton,"Clevedon, England",,,,male
