,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Footnote,Measure Start Date,Measure End Date,Location
1,010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,(334) 493-3541,SSI - Colon Surgery,HAI_3_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-86.255415 31.291972)
2,010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0,,07/01/2018,06/30/2019,POINT (-85.65142 34.162761)
3,010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,(334) 347-0584,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CILOWER,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-85.855308 31.318191)
4,010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,(334) 793-5000,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,No Different than National Benchmark,1,,07/01/2018,06/30/2019,POINT (-85.457937 31.235991)
5,010087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,(251) 471-7110,SSI - Abdominal Hysterectomy: Predicted Cases,HAI_4_ELIGCASES,Not Available,0.388,,07/01/2018,06/30/2019,POINT (-88.099441 30.708121)
6,281346,CHI HEALTH PLAINVIEW,"P O BOX 489, 704 NORTH THIRD ST",PLAINVIEW,NE,68769,PIERCE,(402) 582-4245,SSI - Colon Surgery: Observed Cases,HAI_3_NUMERATOR,Not Available,Not Available,5,07/01/2018,06/30/2019,
7,010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,(334) 738-2140,SSI - Colon Surgery,HAI_3_SIR,Not Available,Not Available,12,07/01/2018,06/30/2019,POINT (-85.71638 32.146182)
8,350006,TRINITY HOSPITALS,407 3RD ST SE,MINOT,ND,58701,WARD,(701) 857-5000,SSI - Abdominal Hysterectomy: Observed Cases,HAI_4_NUMERATOR,Not Available,0,,07/01/2018,06/30/2019,POINT (-101.288452 48.232479)
9,010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,(334) 670-5000,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,No Different than National Benchmark,7625,,07/01/2018,06/30/2019,POINT (-85.945529 31.780322)
10,010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,(205) 392-5263,SSI - Colon Surgery: Predicted Cases,HAI_3_ELIGCASES,Not Available,Not Available,12,07/01/2018,06/30/2019,POINT (-88.296081 32.491825)
11,010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,(256) 249-5000,SSI - Abdominal Hysterectomy: Observed Cases,HAI_4_NUMERATOR,Not Available,0,,07/01/2018,06/30/2019,POINT (-86.254598 33.164666)
12,010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,(251) 368-2500,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CIUPPER,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-87.479735 31.01657)
13,011306,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,RANDOLPH,(256) 357-2111,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,5,07/01/2018,06/30/2019,POINT (-85.480028 33.296666)
14,281312,GENOA COMMUNITY HOSPITAL,"P O BOX 310, 706 EWING AVE",GENOA,NE,68640,PLATTE,(402) 993-2283,SSI - Colon Surgery: Number of Procedures,HAI_3_DOPC,Not Available,Not Available,5,07/01/2018,06/30/2019,
15,320067,GUADALUPE COUNTY HOSPITAL,"117 CAMINO DE VIDA, SUITE 100",SANTA ROSA,NM,88435,GUADALUPE,(575) 472-3417,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-104.694224 34.929504)
16,021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,BARROW,AK,99723,NORTH SLOPE BOROUH,(907) 852-4611,SSI - Colon Surgery,HAI_3_SIR,Not Available,Not Available,5,07/01/2018,06/30/2019,POINT (-156.72732 71.298135)
17,021314,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,SITKA BOROUGH,(907) 966-2411,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CIUPPER,Not Available,Not Available,5,07/01/2018,06/30/2019,POINT (-135.356353 57.05201)
18,030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,COCONINO,(928) 779-3366,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-111.644835 35.209534)
19,030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,MARICOPA,(602) 406-5001,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Better than the National Benchmark,150805,,07/01/2018,06/30/2019,POINT (-112.079208 33.480294)
20,030061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,MARICOPA,(623) 832-4000,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-112.282538 33.604798)
21,281361,LEXINGTON REGIONAL HEALTH CENTER,"P O BOX 980, 1201 NORTH ERIE ST",LEXINGTON,NE,68850,DAWSON,(308) 324-5651,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CILOWER,Not Available,Not Available,13,07/01/2018,06/30/2019,
22,281344,CHERRY COUNTY HOSPITAL,"P O BOX 410, 510 NORTH GREEN ST",VALENTINE,NE,69201,CHERRY,(402) 376-2525,SSI - Colon Surgery: Number of Procedures,HAI_3_DOPC,Not Available,Not Available,5,07/01/2018,06/30/2019,
23,030074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,(520) 362-7003,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0,3,07/01/2018,06/30/2019,
24,341320,ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,(336) 372-5511,SSI - Colon Surgery: Lower Confidence Limit,HAI_3_CILOWER,Not Available,Not Available,5,07/01/2018,06/30/2019,
25,330405,HELEN HAYES HOSPITAL,51 NORTH ROUTE 9W,WEST HAVERSTRAW,NY,10993,ROCKLAND,(845) 786-4000,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,12,07/01/2018,06/30/2019,POINT (-73.985768 41.212779)
26,030094,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,MARICOPA,(623) 561-1000,Clostridium Difficile (C.Diff),HAI_6_SIR,No Different than National Benchmark,0.734,,07/01/2018,06/30/2019,POINT (-112.202889 33.655042)
27,030114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,PIMA,(520) 901-3549,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-110.94954 32.427183)
28,030121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,MARICOPA,(480) 358-6100,MRSA Bacteremia,HAI_5_SIR,No Different than National Benchmark,0.902,,07/01/2018,06/30/2019,POINT (-111.615329 33.3911)
29,031305,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,(928) 737-6000,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,5,07/01/2018,06/30/2019,
30,031309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,(928) 755-4541,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CIUPPER,Not Available,Not Available,5,07/01/2018,06/30/2019,
31,040002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,JOHNSON,(479) 754-5454,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-93.445797 35.464384)
32,040051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,MONTICELLO,AR,71655,DREW,(870) 367-2411,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0,,07/01/2018,06/30/2019,POINT (-91.814978 33.610628)
33,040067,MAGNOLIA HOSPITAL,101 HOSPITAL DRIVE,MAGNOLIA,AR,71754,COLUMBIA,(870) 235-3000,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-93.240071 33.275123)
34,040085,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,No Different than National Benchmark,0,,07/01/2018,06/30/2019,POINT (-90.62733 34.508357)
35,040114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,9601 INTERSTATE,LITTLE ROCK,AR,72205,PULASKI,(501) 202-2000,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Better than the National Benchmark,73,,07/01/2018,06/30/2019,
36,041303,MERCY HOSPITAL OZARK,801 WEST RIVER STREET,OZARK,AR,72949,FRANKLIN,(479) 667-4138,SSI - Colon Surgery,HAI_3_SIR,Not Available,Not Available,5,07/01/2018,06/30/2019,POINT (-93.833805 35.486118)
37,041321,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,CLARK,(870) 245-2622,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CILOWER,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-93.08797 34.122802)
38,041330,PIGGOTT COMMUNITY HOSPITAL,216 EAST MAIN STREET,PIGGOTT,AR,72454,CLAY,(870) 598-3881,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,5,07/01/2018,06/30/2019,POINT (-90.188443 36.382019)
39,050006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Better than the National Benchmark,12.866,,07/01/2018,06/30/2019,POINT (-124.142039 40.783103)
40,310091,SALEM MEDICAL CENTER,310 WOODSTOWN ROAD,SALEM,NJ,8079,SALEM,(856) 935-1000,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.227,,07/01/2018,06/30/2019,POINT (-75.445855 39.593404)
41,050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 543-6222,SSI - Colon Surgery,HAI_3_SIR,No Different than National Benchmark,0.560,,07/01/2018,06/30/2019,POINT (-117.165914 32.753717)
42,050028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,(707) 822-3621,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-124.090847 40.903309)
43,281327,COZAD COMMUNITY HOSPITAL,"P O BOX 108, 300 EAST 12TH ST",COZAD,NE,69130,DAWSON,(308) 784-2261,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,Not Available,5,07/01/2018,06/30/2019,
44,050045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,IMPERIAL,(760) 339-7100,Clostridium Difficile (C.Diff),HAI_6_SIR,No Different than National Benchmark,1.030,,07/01/2018,06/30/2019,POINT (-115.56862 32.781498)
45,050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,1101 VAN NESS AVENUE,SAN FRANCISCO,CA,94109,SAN FRANCISCO,(415) 600-6000,SSI - Colon Surgery,HAI_3_SIR,No Different than National Benchmark,0.629,,07/01/2018,06/30/2019,POINT (-122.421544 37.786152)
46,050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,(951) 845-1121,SSI - Colon Surgery: Upper Confidence Limit,HAI_3_CIUPPER,Not Available,Not Available,13,07/01/2018,06/30/2019,
47,050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,(818) 502-1900,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-118.257795 34.127789)
48,050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,(707) 651-1000,SSI - Colon Surgery: Predicted Cases,HAI_3_ELIGCASES,No Different than National Benchmark,3.273,,07/01/2018,06/30/2019,POINT (-122.247586 38.128437)
