price,facility,address,condition,zip,radius,city
90.0,Advanced Cardiology LLC,"117 Seber Rd., Ste. 1B, Hackettstown NJ",cardiovascular,10001,50,New York
110.0,Lenox Hill Radiology,"80-02 Kew Gardens Rd., Ste. L1, Kew Gardens NY",cardiovascular,10001,50,New York
150.0,Staten Island Heart,"501 Seaview Ave., Ste. 300, Staten Island NY",cardiovascular,10001,50,New York
150.0,Mt. Sinai Riverside Medical Group,"1010 N. Broadway, Yonkers NY",cardiovascular,10001,50,New York
150.0,Mt. Sinai Riverside Medical Group,"1010 N. Broadway, Yonkers NY",cardiovascular,10001,50,New York
150.0,Westmed Medical Group,"210 Westchester Ave., White Plains NY",cardiovascular,10001,50,New York
150.0,"Cardiology Associates of Princeton, PA","731 Alexander Rd., Ste. 202, Princeton NJ",cardiovascular,10001,50,New York
175.0,North Jersey Cardiology Consultants,"329 Belleville Ave., Bloomfield NJ",cardiovascular,10001,50,New York
200.0,NYC Comprehensive Cardiology,"79-15 Metropolitan Ave., Middle Village NY",cardiovascular,10001,50,New York
250.0,Cardiology Consultants of Bay Ridge,"237 82nd St., Brooklyn NY",cardiovascular,10001,50,New York
250.0,Advanced Cardiac Care,"95-11 101 Ave., Ozone Park NY",cardiovascular,10001,50,New York
250.0,Advanced Cardio Diagnostics,"1384 E. 19th St., Ste. 1, Brooklyn NY",cardiovascular,10001,50,New York
250.0,Cardiology Associates,"3201 Grand Concourse, Bronx NY",cardiovascular,10001,50,New York
262.0,Advanced Radiological Imaging Associates,"89-40 56th Ave., Elmhurst NY",cardiovascular,10001,50,New York
300.0,Gramercy Cardiac,"2329 Nostrand Ave., 6th Fl., Brooklyn NY",cardiovascular,10001,50,New York
305.0,Cardiology Associates of Princeton,"731 Alexander Rd., Ste. 202, Princeton NJ",cardiovascular,10001,50,New York
360.0,Cardiology Associates of Brooklyn,"421 Ocean Pkwy., Brooklyn NY",cardiovascular,10001,50,New York
360.0,Cardiology Associates of Brooklyn,"421 Ocean Pkwy., Brooklyn NY",cardiovascular,10001,50,New York
500.0,Greenwich Cardiology Associates/Medical Associates of Wall Street,"65 Broadway, Ste. 903, New York NY",cardiovascular,10001,50,New York
500.0,Astoria Cardiology Group,"42-07 30th Ave., Astoria NY",cardiovascular,10001,50,New York
500.0,Cardiology Associates,"3201 Grand Concourse, Bronx NY",cardiovascular,10001,50,New York
518.0,Cardiology Associates of Westchester,"944 N. Broadway, Yonkers NY",cardiovascular,10001,50,New York
600.0,Westside Cardiology,"111 W. 57th St., Ste. 1403, New York NY",cardiovascular,10001,50,New York
600.0,Westside Cardiology,"111 W. 57th St., Ste. 1403, New York NY",cardiovascular,10001,50,New York
635.0,Cardiology Consultants of North Morris,"356 US-46, Mountain Lakes NJ",cardiovascular,10001,50,New York
150.0,Staten Island Heart,"501 Seaview Ave., Ste. 300, Staten Island NY",cardiovascular,10001,50,New York
150.0,Mt. Sinai Riverside Medical Group,"1010 N. Broadway, Yonkers NY",cardiovascular,10001,50,New York
150.0,Westmed Medical Group,"210 Westchester Ave., White Plains NY",cardiovascular,10001,50,New York
160.0,Englewood Health,"350 Engle St., Englewood NJ",cardiovascular,10001,50,New York
200.0,NYC Comprehensive Cardiology,"79-15 Metropolitan Ave., Middle Village NY",cardiovascular,10001,50,New York
250.0,Cardiology Consultants of Bay Ridge,"237 82nd St., Brooklyn NY",cardiovascular,10001,50,New York
250.0,Advanced Cardio Diagnostics,"1384 E. 19th St., Ste. 1, Brooklyn NY",cardiovascular,10001,50,New York
262.0,Advanced Radiological Imaging Associates,"89-40 56th Ave., Elmhurst NY",cardiovascular,10001,50,New York
305.0,Cardiology Associates of Princeton,"731 Alexander Rd., Ste. 202, Princeton NJ",cardiovascular,10001,50,New York
316.0,Carepoint Health - Bayonne Medical Center,"29 E. 29th St., Bayonne NJ",cardiovascular,10001,50,New York
360.0,Cardiology Associates of Brooklyn,"421 Ocean Pkwy., Brooklyn NY",cardiovascular,10001,50,New York
416.0,RWJ - St. Barnabas Medical Center,"94 Old Short Hills Rd., Livingston NJ",cardiovascular,10001,50,New York
500.0,Astoria Cardiology Group,"42-07 30th Ave., Astoria NY",cardiovascular,10001,50,New York
500.0,Cardiology Associates,"3201 Grand Concourse, Bronx NY",cardiovascular,10001,50,New York
600.0,Westside Cardiology,"111 W. 57th St., Ste. 1403, New York NY",cardiovascular,10001,50,New York
187.0,Sutter East Bay Medical Foundation,"2500 Milvia St., Berkeley CA",cardiovascular,94016,50,San Francisco
218.0,Palo Alto Medical Foundation,"795 El Camino Real, Palo Alto CA",cardiovascular,94016,50,San Francisco
663.0,Chinese Hospital,"845 Jackson St., San Francisco CA",cardiovascular,94016,50,San Francisco
1400.0,California Pacific Medical Center Cardiology,"2333 Buchanan St., San Francisco CA",cardiovascular,94016,50,San Francisco
1778.0,Stanford Hospital,"300 Pasteur Dr., Stanford CA",cardiovascular,94016,50,San Francisco
103.0,"Sehgal, Rohit, MD","734 Mowry Ave., Fremont CA",cardiovascular,94016,50,San Francisco
226.0,Berkeley Cardiovascular Medical Group,"3300 Webster St., Ste. 404, Oakland CA",cardiovascular,94016,50,San Francisco
248.0,John Muir Outpatient Center,"2700 Grant St., Concord CA",cardiovascular,94016,50,San Francisco
250.0,Advanced Cardiovascular Specialists,"2490 Hospital Dr., Ste. 311, Mountain View CA",cardiovascular,94016,50,San Francisco
325.0,NCMA Cardiology - Sonoma,"558 Third St. W., Sonoma CA",cardiovascular,94016,50,San Francisco
325.0,Apex Cardiology of Silicon Valley,"2400 Samaritan Dr., Ste. 200, San Jose CA",cardiovascular,94016,50,San Francisco
336.0,Silicon Valley Cardiology,"2900 Whipple Ave., Ste. 20, Redwood City CA",cardiovascular,94016,50,San Francisco
454.0,UCSF Screening and Acute Care Clinic,"400 Parnassus Ave., Level 1B, San Francisco CA",cardiovascular,94016,50,San Francisco
480.0,California Cardiovascular Consultants,"2333 Mowry Ave., Fremont CA",cardiovascular,94016,50,San Francisco
497.0,Cardiovascular Consultants Medical Group,"365 Hawthorne Ave., Ste. 201, Oakland CA",cardiovascular,94016,50,San Francisco
958.0,Palo Alto Medical Foundation,"701 E. El Camino Real, Mountain View CA",cardiovascular,94016,50,San Francisco
120.0,"Sidky, Dr. Adel","323 S. E. 23rd Ave., Boynton Beach FL",cardiovascular,33018,50,Miami
163.0,Holy Cross Hospital,"4725 N. Federal Hwy., Fort Lauderdale FL",cardiovascular,33018,50,Miami
187.0,Abella Heart,"8200 S.W. 117 Ave., Ste. 414, Miami FL",cardiovascular,33018,50,Miami
250.0,Cardiovascular Consultants,"7421 N. University Dr., Ste. 112, Tamarac FL",cardiovascular,33018,50,Miami
576.0,Cardiovascular Medicine Associates/South Miami Heart Specialists,"6200 Sunset Dr., Ste. 401, Miami FL",cardiovascular,33018,50,Miami
870.0,"Jimenez, Dr. Hector","400 N.W. 12th Ave., Ste. #1, Miami FL",cardiovascular,33018,50,Miami
900.0,Cardiology Associates of Miami Beach,"4302 Alton Rd., Ste. 1003, Miami Beach FL",cardiovascular,33018,50,Miami
1188.0,Healthworx (Regional),"3702 Washington St., Ste. 401, Hollywood FL",cardiovascular,33018,50,Miami
2190.0,Boca Raton Regional Hospital,"800 Meadows Rd., Boca Raton FL",cardiovascular,33018,50,Miami
2190.0,Boca Raton Regional Hospital Diagnostic Center,"1905 Clint Moore Rd., Boca Raton FL",cardiovascular,33018,50,Miami
120.0,"Sidky, Dr. Adel","323 S. E. 23rd Ave., Boynton Beach FL",cardiovascular,33018,50,Miami
163.0,Holy Cross Hospital,"4725 N. Federal Hwy., Fort Lauderdale FL",cardiovascular,33018,50,Miami
187.0,Abella Heart,"8200 S.W. 117 Ave., Ste. 414, Miami FL",cardiovascular,33018,50,Miami
250.0,Cardiovascular Consultants,"7421 N. University Dr., Ste. 112, Tamarac FL",cardiovascular,33018,50,Miami
576.0,Cardiovascular Medicine Associates/South Miami Heart Specialists,"6200 Sunset Dr., Ste. 401, Miami FL",cardiovascular,33018,50,Miami
870.0,"Jimenez, Dr. Hector","400 N.W. 12th Ave., Ste. #1, Miami FL",cardiovascular,33018,50,Miami
900.0,Cardiology Associates of Miami Beach,"4302 Alton Rd., Ste. 1003, Miami Beach FL",cardiovascular,33018,50,Miami
1188.0,Healthworx (Regional),"3702 Washington St., Ste. 401, Hollywood FL",cardiovascular,33018,50,Miami
2190.0,Boca Raton Regional Hospital,"800 Meadows Rd., Boca Raton FL",cardiovascular,33018,50,Miami
2190.0,Boca Raton Regional Hospital Diagnostic Center,"1905 Clint Moore Rd., Boca Raton FL",cardiovascular,33018,50,Miami
161.0,South Miami Heart Specialists,"6200 Sunset Dr #401, South Miami, FL 33143, USA",cardiovascular,33018,50,Miami
75.0,Texas Institute of Cardiology,"4510 Medical Center Dr., Ste. 208, McKinney TX",cardiovascular,75001,50,Dallas
109.0,HeartPlace Plano,"3801 W. 15th St., Bldg. B, Ste. 320, Plano TX",cardiovascular,75001,50,Dallas
126.0,Heart Center of North Texas,"1017 12th Ave., Ft. Worth TX",cardiovascular,75001,50,Dallas
