,A,B,C,D
0,25,28,27,76
1,41,27,57,8
2,55,84,32,75
3,4,55,65,48
4,98,17,40,68
5,66,95,3,13
6,91,11,94,75
7,83,23,92,93
8,44,97,33,53
9,70,50,27,26
10,85,23,94,85
11,13,99,10,69
12,83,22,94,79
13,54,48,10,72
14,80,37,21,96
15,65,2,83,53
16,40,58,44,40
17,4,78,3,50
18,33,29,14,49
19,98,24,88,60
20,6,20,23,28
21,59,71,62,3
22,59,6,50,93
23,60,2,20,38
24,25,3,52,99
25,73,97,46,26
26,57,33,88,43
27,61,85,1,24
28,52,97,5,51
29,9,18,97,14
30,79,7,5,43
31,95,44,63,29
32,65,61,89,76
33,49,39,43,67
34,47,35,56,57
35,12,71,0,77
36,73,98,25,21
37,51,56,56,43
38,11,93,86,30
39,53,62,50,35
40,59,51,62,63
41,66,82,96,44
42,75,86,68,3
43,85,67,49,48
44,53,33,28,31
45,94,1,8,66
46,84,30,95,73
47,35,72,15,59
48,69,85,67,88
49,93,64,6,0
50,88,10,52,84
51,36,92,47,64
52,80,47,39,70
53,62,23,20,44
54,90,47,66,30
55,27,43,0,98
56,96,81,33,60
57,4,28,26,69
58,20,9,0,30
59,32,51,19,32
60,22,3,41,65
61,30,31,68,2
62,79,23,50,56
63,5,93,67,23
64,28,36,27,66
65,95,1,50,29
66,5,90,34,94
67,48,60,57,73
68,94,10,88,10
69,47,7,33,7
70,65,36,12,21
71,14,19,29,17
72,10,48,71,0
73,47,96,1,3
74,7,36,71,3
75,87,94,11,86
76,23,58,63,64
77,31,39,47,73
78,42,44,1,86
79,89,29,99,82
80,46,51,42,1
81,12,23,58,38
82,84,2,82,67
83,74,37,57,49
84,6,81,25,56
85,40,50,83,87
86,10,44,23,71
87,81,69,52,4
88,67,56,10,61
89,74,23,57,95
90,69,65,15,14
91,21,28,81,12
92,60,69,58,48
93,22,22,86,84
94,21,81,59,49
95,57,7,32,38
96,35,67,6,87
97,91,16,67,90
98,41,68,66,33
99,77,44,7,47
