facility,population,pct_middle_aged,pct_senior,pct_male,pct_white,pct_black,pct_non_rel,pct_vacant
iSleep Program,50502,24.9,15.0,47.6,59.2,8.6,4.9,6.4
New York Sleep Disorder Center,76103,22.4,8.5,47.2,24.8,25.9,7.5,4.8
Sleep Diagnostics of NY,68733,27.999999999999996,18.6,46.2,65.4,2.9,4.4,6.0
Hackensack Sleep and Pulmonary Center,43010,26.099999999999998,12.4,49.5,46.7,24.4,7.1,6.4
RWJBarnabas Health - Physician Enterprise Sleep Center,46298,32.0,13.4,48.3,69.0,4.1,2.2,3.3
New York Sleep Disorder Center,76103,22.4,8.5,47.2,24.8,25.9,7.5,4.8
Sleep Diagnostics of N.Y.,68733,27.999999999999996,18.6,46.2,65.4,2.9,4.4,6.0
NYU Langone Pulmonary and Sleep Medicine,80018,28.400000000000002,16.1,47.5,71.3,5.5,3.2,12.3
NYU Winthrop Sleep Disorders Center,27273,29.400000000000002,16.8,47.4,92.4,1.6,1.5,3.8
Sleep Disorders Institute,42870,23.3,13.7,49.9,69.3,5.5,12.5,17.5
Jamaica Hospital Sleep Center,36256,25.0,9.2,50.1,37.0,10.9,6.9,6.9
New York Cardiovascular Associates Sleep Wake Center,50984,27.2,12.4,51.0,80.3,4.6,11.7,8.9
Clifton Center for Sleep Disorders,11703,27.5,16.5,47.8,73.5,4.2,3.6,3.1
Englewood Health,27119,27.0,14.2,47.4,45.2,32.6,6.4,6.0
Montefiore St. Luke's Cornwall Center for Sleep Medicine,5870,29.5,14.7,47.3,91.3,2.4,3.5,8.7
Montefiore - Nyack Hospital Edythe Kurz Center for Sleep Medicine,15093,28.5,14.0,47.2,67.1,20.1,8.2,6.5
Mercy Medical Center,26646,30.3,17.0,46.9,83.4,9.1,2.8,4.3
Carepoint Health - Bayonne Medical Center,63031,27.3,13.2,47.8,69.2,8.9,4.6,9.2
NYU Langone Medical Associates - Chelsea,21102,23.5,12.4,48.3,65.0,9.0,12.1,11.6
EOS Sleep Diagnostics,32270,24.5,19.6,44.5,86.1,1.8,7.4,18.5
RWJBarnabas Health - Clara Maass Medical Center,35897,26.2,11.8,48.2,60.6,9.0,5.2,6.5
Fairfield County Sleep Center,21123,26.2,17.0,47.3,88.7,2.5,3.5,4.4
Sleep Disorders Institute,42870,23.3,13.7,49.9,69.3,5.5,12.5,17.5
Lenox Hill Hospital - Northwell Health Sleep Center,26121,25.299999999999997,18.7,42.9,87.9,2.0,6.8,11.3
"Staten Island University Pulmonary, Critical Care & Sleep Medicine",41749,28.200000000000003,13.0,48.6,76.2,4.4,3.7,6.4
"The Bronx Pulmonary Center for Pulmonary, Asthma and Sleep Disorders",70496,21.1,7.5,46.6,20.3,38.3,6.7,6.1
Riverside Medical Group - Hoboken Sleep Doctors,50005,13.5,6.3,50.5,82.2,3.5,15.0,6.8
Montefiore New Rochelle,40827,23.4,12.7,48.7,55.7,25.5,6.3,5.9
Summit Medical Group - Sleep Disorders Center,17278,22.7,13.1,47.2,86.5,3.5,3.5,5.0
Sleep Medicine Associates of NYC,31834,20.5,12.6,46.3,73.8,5.9,11.5,8.2
The Sleep Center at Greenwich Hospital,24027,29.0,17.0,46.9,83.1,3.6,4.5,11.2
"Center for Sleep Medicine, Weill Cornell Medical College",32270,24.5,19.6,44.5,86.1,1.8,7.4,18.5
Weill Cornell Medical College - Center for Sleep Medicine,32270,24.5,19.6,44.5,86.1,1.8,7.4,18.5
RWJBarnabas Health - Physician Enterprise Sleep Center,46298,32.0,13.4,48.3,69.0,4.1,2.2,3.3
Sleep Disorders Institute,42870,23.3,13.7,49.9,69.3,5.5,12.5,17.5
Sleep Diagnostics of N.Y.,68733,27.999999999999996,18.6,46.2,65.4,2.9,4.4,6.0
iSleep Program,50502,24.9,15.0,47.6,59.2,8.6,4.9,6.4
Jamaica Hospital Sleep Center,36256,25.0,9.2,50.1,37.0,10.9,6.9,6.9
EOS Sleep Diagnostics,32270,24.5,19.6,44.5,86.1,1.8,7.4,18.5
New York Sleep Disorder Center,76103,22.4,8.5,47.2,24.8,25.9,7.5,4.8
Riverside Medical Group - Hoboken Sleep Doctors,50005,13.5,6.3,50.5,82.2,3.5,15.0,6.8
NYU Langone Medical Associates - Chelsea,21102,23.5,12.4,48.3,65.0,9.0,12.1,11.6
"The Gelb Center - Gelb, Dr. Michael L.",18126,29.9,18.6,47.7,78.8,8.1,4.5,4.7
SleepMed,36416,29.700000000000003,11.4,49.0,55.2,11.0,3.9,5.2
Golden State Sleep Centers,61148,23.6,9.5,50.2,36.9,4.1,6.9,4.5
California Center for Sleep Disorders,60212,28.9,13.0,47.9,51.9,7.2,6.7,7.6
Contra Costa Sleep Center,25818,32.0,21.5,47.8,77.3,1.1,3.7,3.4
Sleep Health MD,31049,22.6,8.2,50.7,54.5,5.4,10.9,6.6
Bay Sleep Clinic,20596,22.6,8.9,47.6,46.6,33.2,17.1,9.0
Tri-Valley Sleep Center,34859,29.9,9.8,49.2,66.4,2.5,4.5,4.1
Sleep Medicine and Neurology,34836,24.0,10.4,49.9,57.4,4.3,9.4,5.9
Sutter East Bay Medical Foundation,25592,8.2,3.7,50.2,47.2,4.6,29.7,6.5
Palo Alto Medical Foundation,16995,28.200000000000003,19.1,49.7,75.9,2.0,7.0,6.5
Fremont Sleep Disorders Center,61148,23.6,9.5,50.2,36.9,4.1,6.9,4.5
The Sunnyvale Sleep Center,54293,25.200000000000003,14.0,49.2,47.2,1.4,4.2,3.7
UCSF Benioff Children's Hospital,20596,22.6,8.9,47.6,46.6,33.2,17.1,9.0
Sleep Disorders Center at UCSF Medical Center at Mount Zion,33021,21.2,16.0,46.9,60.7,12.5,15.3,8.4
Sleep Medicine Center at Stanford Healthcare,30949,20.5,6.7,53.4,46.0,2.9,10.9,4.8
UCSF Medical Center at Mount Zion,33021,21.2,16.0,46.9,60.7,12.5,15.3,8.4
"Virtual Imaging Miami, Hialeah Sleep Lab",33141,27.299999999999997,17.8,45.7,91.8,2.3,6.6,5.4
Florida Sleep & Neuro Diagnostic Services Inc.,45342,26.4,13.2,47.4,90.9,3.0,5.9,4.4
United Sleep Diagnostics Pembroke Pines,28498,31.0,15.3,45.6,77.4,12.3,3.8,6.7
United Sleep Diagnostics Hollywood,45921,28.2,19.2,47.7,77.8,12.5,6.4,13.2
Sleep-Wake Disorders Center of Miami,31407,27.5,14.1,47.7,82.5,9.2,7.9,10.4
Holy Cross Hospital,28217,33.9,32.3,50.5,93.5,2.0,7.1,30.0
"Pulmonary Physicians of South Florida, LLC",46867,25.4,18.3,47.0,92.2,2.6,8.5,7.5
"Pulmonary Physicians of South Florida, LLC",31315,31.3,12.9,48.2,89.9,2.4,4.5,10.2
Sunrise Medical Group  Sleep Diagnostics,63916,26.500000000000004,11.3,48.2,68.8,15.7,6.4,7.3
Choice Physicians of South Florida,10044,34.0,24.1,53.4,88.9,4.5,9.1,30.0
International Institute of Sleep,28075,25.0,32.2,45.1,83.8,8.3,6.7,27.1
Broward Health Medical Center,10044,34.0,24.1,53.4,88.9,4.5,9.1,30.0
Delray Medical Center,23443,20.6,60.1,42.6,92.5,3.7,4.4,23.6
Holy Cross Hospital,28217,33.9,32.3,50.5,93.5,2.0,7.1,30.0
United Health Systems,42847,26.9,15.0,46.7,77.8,12.2,6.4,11.6
University of Miami Health Center UHealth Sleep Center,13791,24.799999999999997,10.6,48.7,35.4,55.2,8.6,17.3
University of Miami Health Center UHealth Sleep Center at Plantation,42847,26.9,15.0,46.7,77.8,12.2,6.4,11.6
University of Miami Health Center UHealth Sleep Center at Kendall,50170,29.9,14.6,46.9,76.5,16.5,4.7,7.5
Baptist Sleep Center at Galloway,33141,27.299999999999997,17.8,45.7,91.8,2.3,6.6,5.4
University of Miami Hospital,13791,24.799999999999997,10.6,48.7,35.4,55.2,8.6,17.3
University of Miami Health System at Kendall,50170,29.9,14.6,46.9,76.5,16.5,4.7,7.5
International Institute-Sleep,35372,28.799999999999997,12.9,49.5,66.6,23.0,7.0,6.9
Baptist Hospital,50170,29.9,14.6,46.9,76.5,16.5,4.7,7.5
Charlton Methodist Hospital,17101,20.6,5.0,42.8,9.1,81.9,5.4,11.5
The Lung and Sleep Center of North Texas,17446,23.6,11.4,50.1,30.2,47.1,6.3,16.6
Texas Medical Diagnostics Inc.,17446,23.6,11.4,50.1,30.2,47.1,6.3,16.6
4 Better Sleep Center - Dallas,55406,21.599999999999998,7.7,48.7,37.3,40.2,6.6,17.9
Southlake Neurology & Neurophysiology Clinic,26669,36.3,5.9,50.1,88.3,2.1,1.2,3.6
Family Sleep Diagnostics,30460,25.7,6.2,48.8,64.0,21.0,3.4,3.8
Comprehensive Sleep Medicine,33395,30.599999999999998,16.4,48.3,79.2,8.1,4.8,6.1
Dallas Center for Sleep Disorders,36039,25.2,4.9,48.8,59.3,7.1,3.8,5.4
Medical Sleep Solutions PLLC,48877,28.5,10.6,45.9,23.2,68.6,3.5,6.6
Texas Neurology Sleep Disorders Center,23061,25.700000000000003,9.9,47.6,91.8,1.4,5.2,9.7
Arlington Sleep Disorder Clinic,30460,25.7,6.2,48.8,64.0,21.0,3.4,3.8
"Texas Pulmonary and Sleep Consultants, Inc.",21710,24.299999999999997,14.1,48.1,87.1,4.4,10.5,9.4
Texas Pulmonary Sleep Center,25689,27.0,16.3,48.2,72.8,12.0,5.2,8.3
Baylor Surgical Hospital at Fort Worth,30434,21.7,7.2,51.2,63.7,4.0,6.7,11.5
Baylor Scott and White Lake Pointe,24712,32.4,8.7,49.2,75.5,11.2,3.2,3.6
Baylor Scott and White Plano,47187,33.0,9.7,47.8,72.9,5.9,2.9,4.6
Baylor Scott and White Grapevine,46320,30.499999999999996,7.9,49.5,81.1,3.3,4.7,6.0
Methodist Medical Center of Dallas,15721,20.1,7.5,52.1,29.1,34.9,8.1,15.0
Texas Health Presbyterian Rockwall,27986,27.299999999999997,8.6,49.8,82.3,5.5,3.1,5.5
Texas Health Presbyterian Plano,47187,33.0,9.7,47.8,72.9,5.9,2.9,4.6
Texas Health Presbyterian Dallas,37052,18.599999999999998,6.3,52.0,44.9,22.2,7.1,17.5
Baylor Scott and White Carrollton,21607,25.5,6.4,47.5,57.2,11.2,3.7,5.6
Sleep Study Center Baylor University Medical Center at Dallas,2770,20.6,9.2,53.4,51.2,16.8,9.8,14.9
Baylor Scott and White All Saints,17446,23.6,11.4,50.1,30.2,47.1,6.3,16.6
Baylor Scott and White Waxahachie,37966,24.500000000000004,11.0,49.0,77.9,10.7,4.5,8.5
