State,City,Facility ID,Facility Name,Address,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Footnote,Measure Start Date,Measure End Date,Location
GA,QUITMAN,111332,BROOKS COUNTY HOSPITAL,903 N COURT STREET,31643,BROOKS,(912) 263-4171,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,2108.0,3,07/01/2018,06/30/2019,POINT (-83.5595 30.795012)
ID,GRANGEVILLE,131315,SYRINGA GENERAL HOSPITAL,607 W MAIN STREET,83530,IDAHO,(208) 983-1700,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,792.0,3,07/01/2018,06/30/2019,POINT (-116.126994 45.926789)
ID,MOSCOW,131327,GRITMAN MEDICAL CENTER,700 SOUTH MAIN STREET,83843,LATAH,(208) 882-4511,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.049,3,07/01/2018,06/30/2019,POINT (-117.001406 46.728704)
IL,ELDORADO,141324,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,1201 PINE STREET,62930,SALINE,(618) 273-3361,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,3113.0,3,07/01/2018,06/30/2019,POINT (-88.441451 37.815332)
KS,WA KEENEY,171355,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,320 THIRTEENTH ST,67672,TREGO,(785) 743-2182,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-99.87162 39.027219)
MD,LAUREL,210055,LAUREL REGIONAL MEDICAL CENTER,7300 VAN DUSEN ROAD,20707,PRINCE GEORGES,(301) 725-4300,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,9422.0,3,07/01/2018,06/30/2019,POINT (-76.881591 39.084742)
WY,CODY,531312,CODY REGIONAL HEALTH,707 SHERIDAN AVENUE,82414,PARK,(307) 578-2488,SSI - Colon Surgery: Number of Procedures,HAI_3_DOPC,Not Available,3.0,3,07/01/2018,06/30/2019,POINT (-109.073576 44.526071)
WI,STOUGHTON,521343,STOUGHTON HOSPITAL,900 RIDGE ST,53589,DANE,(608) 873-6611,SSI - Colon Surgery: Predicted Cases,HAI_3_ELIGCASES,Not Available,0.152,3,07/01/2018,06/30/2019,POINT (-89.211319 42.920317)
TX,CRANE,451353,CRANE COUNTY HOSPITAL DISTRICT,1310 S ALFORD ST,79731,CRANE,(432) 558-3555,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-102.349373 31.390565)
WI,EAU CLAIRE,520210,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,2310 CRAIG RD,54701,EAU CLAIRE,(715) 858-8100,SSI - Abdominal Hysterectomy: Predicted Cases,HAI_4_ELIGCASES,Not Available,0.154,3,07/01/2018,06/30/2019,POINT (-91.519083 44.793318)
WA,CHELAN,501334,LAKE CHELAN COMMUNITY HOSPITAL,503 EAST HIGHLAND,98816,CHELAN,(509) 682-3300,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-120.010511 47.845139)
AR,CLINTON,041313,OZARK HEALTH,2500 HIGHWAY 65 SOUTH,72031,VAN BUREN,(501) 745-7000,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.01,3,07/01/2018,06/30/2019,POINT (-92.449913 35.559375)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,5885.0,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
